timestamp,city,z,x,y,tile_file,green_px,orange_px,red_px,darkred_px,congestion_index
2026-05-09T09:01:07,surabaya,14,13322,8522,surabaya_traffic_tiles/z14_x13322_y8522.png,223,30,26,104,0.4328981723237598
2026-05-09T09:01:08,surabaya,14,13322,8523,surabaya_traffic_tiles/z14_x13322_y8523.png,243,276,55,74,0.43487654320987656
2026-05-09T09:01:09,surabaya,14,13322,8524,surabaya_traffic_tiles/z14_x13322_y8524.png,843,16,118,109,0.23646408839779
2026-05-09T09:01:11,surabaya,14,13323,8522,surabaya_traffic_tiles/z14_x13323_y8522.png,75,21,22,49,0.5467065868263473
2026-05-09T09:01:12,surabaya,14,13323,8523,surabaya_traffic_tiles/z14_x13323_y8523.png,55,0,0,0,0.0
2026-05-09T09:01:13,surabaya,14,13323,8524,surabaya_traffic_tiles/z14_x13323_y8524.png,94,251,18,81,0.5421171171171171
2026-05-09T09:01:14,surabaya,14,13324,8522,surabaya_traffic_tiles/z14_x13324_y8522.png,131,0,20,75,0.48672566371681414
2026-05-09T09:01:15,surabaya,14,13324,8523,surabaya_traffic_tiles/z14_x13324_y8523.png,0,249,0,0,0.5
2026-05-09T09:01:17,surabaya,14,13324,8524,surabaya_traffic_tiles/z14_x13324_y8524.png,58,710,10,13,0.48116308470290775
